PID,Order Date,Customer Key,Sales Territory Region,Sales Order Number,Sales Order Line Number,Order Quantity,Unit Price
579,00:00.0,13050,New Zealand,SO61425,1,1,1214.85
214,00:00.0,13050,New Zealand,SO61425,2,1,34.99
606,00:00.0,27500,New Zealand,SO61426,1,1,539.99
479,00:00.0,27500,New Zealand,SO61426,2,1,8.99
477,00:00.0,27500,New Zealand,SO61426,3,1,4.99
214,00:00.0,27500,New Zealand,SO61426,4,1,34.99
606,00:00.0,27512,New Zealand,SO61427,1,1,539.99
380,00:00.0,20615,New Zealand,SO61428,1,1,2443.35
529,00:00.0,20615,New Zealand,SO61428,2,1,3.99
540,00:00.0,20615,New Zealand,SO61428,3,1,32.6
480,00:00.0,20615,New Zealand,SO61428,4,1,2.29
372,00:00.0,20616,New Zealand,SO61429,1,1,2443.35
529,00:00.0,20616,New Zealand,SO61429,2,1,3.99
540,00:00.0,20616,New Zealand,SO61429,3,1,32.6
214,00:00.0,20616,New Zealand,SO61429,4,1,34.99
529,00:00.0,14233,New Zealand,SO61431,1,1,3.99
539,00:00.0,14233,New Zealand,SO61431,2,1,24.99
536,00:00.0,16710,New Zealand,SO61432,1,1,29.99
528,00:00.0,16710,New Zealand,SO61432,2,1,4.99
480,00:00.0,16710,New Zealand,SO61432,3,1,2.29
536,00:00.0,16625,New Zealand,SO61433,1,1,29.99
528,00:00.0,16625,New Zealand,SO61433,2,1,4.99
480,00:00.0,16625,New Zealand,SO61433,3,1,2.29
484,00:00.0,16625,New Zealand,SO61433,4,1,7.95
477,00:00.0,23646,New Zealand,SO61434,1,1,4.99
225,00:00.0,23646,New Zealand,SO61434,2,1,8.99
488,00:00.0,17250,New Zealand,SO61435,1,1,53.99
225,00:00.0,17250,New Zealand,SO61435,2,1,8.99
530,00:00.0,16016,New Zealand,SO61436,1,1,4.99
541,00:00.0,16016,New Zealand,SO61436,2,1,28.99
477,00:00.0,16016,New Zealand,SO61436,3,1,4.99
479,00:00.0,16016,New Zealand,SO61436,4,1,8.99
535,00:00.0,11125,New Zealand,SO61444,1,1,24.99
528,00:00.0,11125,New Zealand,SO61444,2,1,4.99
480,00:00.0,11125,New Zealand,SO61444,3,1,2.29
390,00:00.0,17730,New Zealand,SO61471,1,1,1120.49
539,00:00.0,17730,New Zealand,SO61471,2,1,24.99
529,00:00.0,17730,New Zealand,SO61471,3,1,3.99
463,00:00.0,17730,New Zealand,SO61471,4,1,24.49
359,00:00.0,13123,New Zealand,SO61472,1,1,2294.99
480,00:00.0,13123,New Zealand,SO61472,2,1,2.29
359,00:00.0,13135,New Zealand,SO61473,1,1,2294.99
478,00:00.0,13135,New Zealand,SO61473,2,1,9.99
587,00:00.0,17233,New Zealand,SO61481,1,1,769.49
528,00:00.0,14059,New Zealand,SO61482,1,1,4.99
535,00:00.0,14059,New Zealand,SO61482,2,1,24.99
480,00:00.0,14059,New Zealand,SO61482,3,1,2.29
528,00:00.0,19578,New Zealand,SO61483,1,1,4.99
536,00:00.0,19578,New Zealand,SO61483,2,1,29.99
480,00:00.0,19578,New Zealand,SO61483,3,1,2.29
477,00:00.0,22941,New Zealand,SO61484,1,1,4.99
491,00:00.0,22941,New Zealand,SO61484,2,1,53.99
475,00:00.0,26143,New Zealand,SO61485,1,1,69.99
491,00:00.0,26143,New Zealand,SO61485,2,1,53.99
478,00:00.0,29188,New Zealand,SO61486,1,1,9.99
477,00:00.0,29188,New Zealand,SO61486,2,1,4.99
487,00:00.0,29188,New Zealand,SO61486,3,1,54.99
234,00:00.0,14217,New Zealand,SO61487,1,1,49.99
583,00:00.0,23423,New Zealand,SO61522,1,1,1700.99
491,00:00.0,23423,New Zealand,SO61522,2,1,53.99
374,00:00.0,20609,New Zealand,SO61523,1,1,2443.35
529,00:00.0,20609,New Zealand,SO61523,2,1,3.99
540,00:00.0,20609,New Zealand,SO61523,3,1,32.6
214,00:00.0,20609,New Zealand,SO61523,4,1,34.99
467,00:00.0,20609,New Zealand,SO61523,5,1,24.49
388,00:00.0,25213,New Zealand,SO61524,1,1,1120.49
529,00:00.0,25213,New Zealand,SO61524,2,1,3.99
539,00:00.0,25213,New Zealand,SO61524,3,1,24.99
222,00:00.0,25213,New Zealand,SO61524,4,1,34.99
357,00:00.0,13650,New Zealand,SO61525,1,1,2319.99
477,00:00.0,13650,New Zealand,SO61525,2,1,4.99
478,00:00.0,13650,New Zealand,SO61525,3,1,9.99
590,00:00.0,14670,New Zealand,SO61538,1,1,769.49
474,00:00.0,14670,New Zealand,SO61538,2,1,69.99
225,00:00.0,14670,New Zealand,SO61538,3,1,8.99
536,00:00.0,20282,New Zealand,SO61539,1,1,29.99
528,00:00.0,20282,New Zealand,SO61539,2,1,4.99
480,00:00.0,20282,New Zealand,SO61539,3,1,2.29
485,00:00.0,22176,New Zealand,SO61540,1,1,21.98
478,00:00.0,22176,New Zealand,SO61540,2,1,9.99
477,00:00.0,22176,New Zealand,SO61540,3,1,4.99
472,00:00.0,22176,New Zealand,SO61540,4,1,63.5
476,00:00.0,26164,New Zealand,SO61541,1,1,69.99
528,00:00.0,12997,New Zealand,SO61542,1,1,4.99
222,00:00.0,12997,New Zealand,SO61542,2,1,34.99
529,00:00.0,12690,New Zealand,SO61543,1,1,3.99
480,00:00.0,12690,New Zealand,SO61543,2,1,2.29
529,00:00.0,25266,New Zealand,SO61544,1,1,3.99
488,00:00.0,25266,New Zealand,SO61544,2,1,53.99
225,00:00.0,11369,New Zealand,SO61545,1,1,8.99
237,00:00.0,11369,New Zealand,SO61545,2,1,49.99
225,00:00.0,18206,New Zealand,SO61546,1,1,8.99
388,00:00.0,25215,New Zealand,SO61584,1,1,1120.49
222,00:00.0,25215,New Zealand,SO61584,2,1,34.99
384,00:00.0,24477,New Zealand,SO61585,1,1,1120.49
386,00:00.0,17728,New Zealand,SO61586,1,1,1120.49
539,00:00.0,17728,New Zealand,SO61586,2,1,24.99
529,00:00.0,17728,New Zealand,SO61586,3,1,3.99
480,00:00.0,17728,New Zealand,SO61586,4,1,2.29
353,00:00.0,13117,New Zealand,SO61587,1,1,2319.99
485,00:00.0,13117,New Zealand,SO61587,2,1,21.98
480,00:00.0,13117,New Zealand,SO61587,3,1,2.29
353,00:00.0,13130,New Zealand,SO61588,1,1,2319.99
537,00:00.0,13130,New Zealand,SO61588,2,1,35
590,00:00.0,17232,New Zealand,SO61596,1,1,769.49
606,00:00.0,27513,New Zealand,SO61597,1,1,539.99
538,00:00.0,27513,New Zealand,SO61597,2,1,21.49
480,00:00.0,27513,New Zealand,SO61597,3,1,2.29
474,00:00.0,27343,New Zealand,SO61598,1,1,69.99
489,00:00.0,27343,New Zealand,SO61598,2,1,53.99
225,00:00.0,27343,New Zealand,SO61598,3,1,8.99
528,00:00.0,21371,New Zealand,SO61599,1,1,4.99
480,00:00.0,21371,New Zealand,SO61599,2,1,2.29
214,00:00.0,15233,New Zealand,SO61600,1,1,34.99
372,00:00.0,20612,New Zealand,SO61639,1,1,2443.35
529,00:00.0,20612,New Zealand,SO61639,2,1,3.99
540,00:00.0,20612,New Zealand,SO61639,3,1,32.6
480,00:00.0,20612,New Zealand,SO61639,4,1,2.29
573,00:00.0,27866,New Zealand,SO61653,1,1,2384.07
477,00:00.0,27866,New Zealand,SO61653,2,1,4.99
479,00:00.0,27866,New Zealand,SO61653,3,1,8.99
561,00:00.0,11894,New Zealand,SO61654,1,1,2384.07
541,00:00.0,11894,New Zealand,SO61654,2,1,28.99
530,00:00.0,11894,New Zealand,SO61654,3,1,4.99
214,00:00.0,11894,New Zealand,SO61654,4,1,34.99
561,00:00.0,11905,New Zealand,SO61655,1,1,2384.07
541,00:00.0,11905,New Zealand,SO61655,2,1,28.99
564,00:00.0,11762,New Zealand,SO61656,1,1,2384.07
491,00:00.0,11762,New Zealand,SO61656,2,1,53.99
538,00:00.0,19618,New Zealand,SO61657,1,1,21.49
225,00:00.0,19618,New Zealand,SO61657,2,1,8.99
485,00:00.0,22003,New Zealand,SO61658,1,1,21.98
214,00:00.0,22003,New Zealand,SO61658,2,1,34.99
530,00:00.0,23078,New Zealand,SO61659,1,1,4.99
480,00:00.0,23078,New Zealand,SO61659,2,1,2.29
484,00:00.0,23078,New Zealand,SO61659,3,1,7.95
530,00:00.0,23079,New Zealand,SO61660,1,1,4.99
480,00:00.0,23079,New Zealand,SO61660,2,1,2.29
225,00:00.0,26145,New Zealand,SO61661,1,1,8.99
476,00:00.0,26145,New Zealand,SO61661,2,1,69.99
477,00:00.0,25001,New Zealand,SO61662,1,1,4.99
478,00:00.0,25001,New Zealand,SO61662,2,1,9.99
217,00:00.0,25001,New Zealand,SO61662,3,1,34.99
231,00:00.0,11367,New Zealand,SO61663,1,1,49.99
482,00:00.0,11367,New Zealand,SO61663,2,1,8.99
465,00:00.0,11911,New Zealand,SO61664,1,1,24.49
541,00:00.0,19608,New Zealand,SO61665,1,1,28.99
225,00:00.0,19608,New Zealand,SO61665,2,1,8.99
530,00:00.0,19608,New Zealand,SO61665,3,1,4.99
355,00:00.0,13651,New Zealand,SO61719,1,1,2319.99
478,00:00.0,13651,New Zealand,SO61719,2,1,9.99
225,00:00.0,13651,New Zealand,SO61719,3,1,8.99
477,00:00.0,13651,New Zealand,SO61719,4,1,4.99
564,00:00.0,11764,New Zealand,SO61730,1,1,2384.07
605,00:00.0,23324,New Zealand,SO61731,1,1,539.99
479,00:00.0,23324,New Zealand,SO61731,2,1,8.99
535,00:00.0,14087,New Zealand,SO61732,1,1,24.99
463,00:00.0,14087,New Zealand,SO61732,2,1,24.49
484,00:00.0,11752,New Zealand,SO61733,1,1,7.95
581,00:00.0,23436,New Zealand,SO61772,1,1,1700.99
477,00:00.0,23436,New Zealand,SO61772,2,1,4.99
479,00:00.0,23436,New Zealand,SO61772,3,1,8.99
489,00:00.0,23436,New Zealand,SO61772,4,1,53.99
380,00:00.0,20448,New Zealand,SO61773,1,1,2443.35
479,00:00.0,20448,New Zealand,SO61773,2,1,8.99
477,00:00.0,20448,New Zealand,SO61773,3,1,4.99
225,00:00.0,20448,New Zealand,SO61773,4,1,8.99
359,00:00.0,13132,New Zealand,SO61774,1,1,2294.99
528,00:00.0,13132,New Zealand,SO61774,2,1,4.99
537,00:00.0,13132,New Zealand,SO61774,3,1,35
214,00:00.0,13132,New Zealand,SO61774,4,1,34.99
561,00:00.0,11899,New Zealand,SO61781,1,1,2384.07
214,00:00.0,11899,New Zealand,SO61781,2,1,34.99
605,00:00.0,28352,New Zealand,SO61782,1,1,539.99
477,00:00.0,28352,New Zealand,SO61782,2,1,4.99
479,00:00.0,28352,New Zealand,SO61782,3,1,8.99
225,00:00.0,28352,New Zealand,SO61782,4,1,8.99
535,00:00.0,13954,New Zealand,SO61783,1,1,24.99
536,00:00.0,18715,New Zealand,SO61784,1,1,29.99
528,00:00.0,18715,New Zealand,SO61784,2,1,4.99
217,00:00.0,18715,New Zealand,SO61784,3,1,34.99
536,00:00.0,16165,New Zealand,SO61785,1,1,29.99
528,00:00.0,16165,New Zealand,SO61785,2,1,4.99
480,00:00.0,16165,New Zealand,SO61785,3,1,2.29
484,00:00.0,16165,New Zealand,SO61785,4,1,7.95
476,00:00.0,27363,New Zealand,SO61786,1,1,69.99
225,00:00.0,27363,New Zealand,SO61786,2,1,8.99
491,00:00.0,27363,New Zealand,SO61786,3,1,53.99
228,00:00.0,17077,New Zealand,SO61787,1,1,49.99
529,00:00.0,26558,New Zealand,SO61788,1,1,3.99
480,00:00.0,26558,New Zealand,SO61788,2,1,2.29
483,00:00.0,17501,New Zealand,SO61789,1,1,120
540,00:00.0,16681,New Zealand,SO61790,1,1,32.6
529,00:00.0,16681,New Zealand,SO61790,2,1,3.99
540,00:00.0,18305,New Zealand,SO61791,1,1,32.6
529,00:00.0,18305,New Zealand,SO61791,2,1,3.99
580,00:00.0,23429,New Zealand,SO61841,1,1,1700.99
491,00:00.0,23429,New Zealand,SO61841,2,1,53.99
361,00:00.0,13626,New Zealand,SO61842,1,1,2294.99
485,00:00.0,13626,New Zealand,SO61842,2,1,21.98
478,00:00.0,13626,New Zealand,SO61842,3,1,9.99
477,00:00.0,13626,New Zealand,SO61842,4,1,4.99
487,00:00.0,13626,New Zealand,SO61842,5,1,54.99
564,00:00.0,11759,New Zealand,SO61855,1,1,2384.07
477,00:00.0,11118,New Zealand,SO61856,1,1,4.99
478,00:00.0,11118,New Zealand,SO61856,2,1,9.99
487,00:00.0,11118,New Zealand,SO61856,3,1,54.99
484,00:00.0,11118,New Zealand,SO61856,4,1,7.95
217,00:00.0,15783,New Zealand,SO61857,1,1,34.99
488,00:00.0,14517,New Zealand,SO61858,1,1,53.99
582,00:00.0,23425,New Zealand,SO61906,1,1,1700.99
477,00:00.0,23425,New Zealand,SO61906,2,1,4.99
479,00:00.0,23425,New Zealand,SO61906,3,1,8.99
487,00:00.0,23425,New Zealand,SO61906,4,1,54.99
380,00:00.0,20450,New Zealand,SO61907,1,1,2443.35
372,00:00.0,17353,New Zealand,SO61908,1,1,2443.35
479,00:00.0,17353,New Zealand,SO61908,2,1,8.99
477,00:00.0,17353,New Zealand,SO61908,3,1,4.99
599,00:00.0,12248,New Zealand,SO61909,1,1,539.99
595,00:00.0,12250,New Zealand,SO61910,1,1,564.99
361,00:00.0,13618,New Zealand,SO61911,1,1,2294.99
357,00:00.0,13629,New Zealand,SO61912,1,1,2319.99
485,00:00.0,13629,New Zealand,SO61912,2,1,21.98
214,00:00.0,13629,New Zealand,SO61912,3,1,34.99
228,00:00.0,13629,New Zealand,SO61912,4,1,49.99
357,00:00.0,11991,New Zealand,SO61913,1,1,2319.99
585,00:00.0,29086,New Zealand,SO61919,1,1,742.35
225,00:00.0,29086,New Zealand,SO61919,2,1,8.99
490,00:00.0,29086,New Zealand,SO61919,3,1,53.99
576,00:00.0,11766,New Zealand,SO61920,1,1,2384.07
479,00:00.0,11766,New Zealand,SO61920,2,1,8.99
477,00:00.0,11766,New Zealand,SO61920,3,1,4.99
490,00:00.0,11766,New Zealand,SO61920,4,1,53.99
225,00:00.0,11766,New Zealand,SO61920,5,1,8.99
605,00:00.0,23320,New Zealand,SO61921,1,1,539.99
481,00:00.0,23320,New Zealand,SO61921,2,1,8.99
485,00:00.0,19098,New Zealand,SO61922,1,1,21.98
217,00:00.0,19098,New Zealand,SO61922,2,1,34.99
225,00:00.0,19098,New Zealand,SO61922,3,1,8.99
490,00:00.0,19098,New Zealand,SO61922,4,1,53.99
485,00:00.0,18270,New Zealand,SO61923,1,1,21.98
473,00:00.0,18270,New Zealand,SO61923,2,1,63.5
528,00:00.0,25233,New Zealand,SO61924,1,1,4.99
480,00:00.0,25233,New Zealand,SO61924,2,1,2.29
380,00:00.0,20452,New Zealand,SO61956,1,1,2443.35
540,00:00.0,20452,New Zealand,SO61956,2,1,32.6
529,00:00.0,20452,New Zealand,SO61956,3,1,3.99
473,00:00.0,20452,New Zealand,SO61956,4,1,63.5
222,00:00.0,20452,New Zealand,SO61956,5,1,34.99
378,00:00.0,20614,New Zealand,SO61957,1,1,2443.35
479,00:00.0,20614,New Zealand,SO61957,2,1,8.99
477,00:00.0,20614,New Zealand,SO61957,3,1,4.99
386,00:00.0,25218,New Zealand,SO61958,1,1,1120.49
529,00:00.0,25218,New Zealand,SO61958,2,1,3.99
539,00:00.0,25218,New Zealand,SO61958,3,1,24.99
217,00:00.0,25218,New Zealand,SO61958,4,1,34.99
384,00:00.0,24504,New Zealand,SO61959,1,1,1120.49
384,00:00.0,25231,New Zealand,SO61960,1,1,1120.49
477,00:00.0,25231,New Zealand,SO61960,2,1,4.99
479,00:00.0,25231,New Zealand,SO61960,3,1,8.99
487,00:00.0,25231,New Zealand,SO61960,4,1,54.99
576,00:00.0,11896,New Zealand,SO61968,1,1,2384.07
479,00:00.0,11896,New Zealand,SO61968,2,1,8.99
484,00:00.0,11896,New Zealand,SO61968,3,1,7.95
573,00:00.0,11900,New Zealand,SO61969,1,1,2384.07
222,00:00.0,11900,New Zealand,SO61969,2,1,34.99
489,00:00.0,11900,New Zealand,SO61969,3,1,53.99
225,00:00.0,11900,New Zealand,SO61969,4,1,8.99
579,00:00.0,27877,New Zealand,SO61970,1,1,1214.85
479,00:00.0,27877,New Zealand,SO61970,2,1,8.99
477,00:00.0,27877,New Zealand,SO61970,3,1,4.99
584,00:00.0,27501,New Zealand,SO61971,1,1,539.99
477,00:00.0,27501,New Zealand,SO61971,2,1,4.99
479,00:00.0,27501,New Zealand,SO61971,3,1,8.99
463,00:00.0,27501,New Zealand,SO61971,4,1,24.49
528,00:00.0,16704,New Zealand,SO61973,1,1,4.99
536,00:00.0,16704,New Zealand,SO61973,2,1,29.99
480,00:00.0,16704,New Zealand,SO61973,3,1,2.29
536,00:00.0,16711,New Zealand,SO61974,1,1,29.99
528,00:00.0,16711,New Zealand,SO61974,2,1,4.99
222,00:00.0,16711,New Zealand,SO61974,3,1,34.99
536,00:00.0,21971,New Zealand,SO61975,1,1,29.99
480,00:00.0,21971,New Zealand,SO61975,2,1,2.29
528,00:00.0,12038,New Zealand,SO61976,1,1,4.99
222,00:00.0,12038,New Zealand,SO61976,2,1,34.99
463,00:00.0,12038,New Zealand,SO61976,3,1,24.49
477,00:00.0,11116,New Zealand,SO61977,1,1,4.99
478,00:00.0,11116,New Zealand,SO61977,2,1,9.99
214,00:00.0,11116,New Zealand,SO61977,3,1,34.99
473,00:00.0,11116,New Zealand,SO61977,4,1,63.5
529,00:00.0,27491,New Zealand,SO61978,1,1,3.99
217,00:00.0,27491,New Zealand,SO61978,2,1,34.99
580,00:00.0,23433,New Zealand,SO62007,1,1,1700.99
384,00:00.0,24505,New Zealand,SO62008,1,1,1120.49
355,00:00.0,13647,New Zealand,SO62009,1,1,2319.99
537,00:00.0,13647,New Zealand,SO62009,2,1,35
528,00:00.0,13647,New Zealand,SO62009,3,1,4.99
363,00:00.0,13649,New Zealand,SO62010,1,1,2294.99
528,00:00.0,13649,New Zealand,SO62010,2,1,4.99
537,00:00.0,13649,New Zealand,SO62010,3,1,35
214,00:00.0,13649,New Zealand,SO62010,4,1,34.99
575,00:00.0,11906,New Zealand,SO62018,1,1,2384.07
560,00:00.0,14224,New Zealand,SO62019,1,1,1214.85
217,00:00.0,14224,New Zealand,SO62019,2,1,34.99
576,00:00.0,11767,New Zealand,SO62020,1,1,2384.07
214,00:00.0,11767,New Zealand,SO62020,2,1,34.99
463,00:00.0,11767,New Zealand,SO62020,3,1,24.49
604,00:00.0,23100,New Zealand,SO62021,1,1,539.99
538,00:00.0,23100,New Zealand,SO62021,2,1,21.49
480,00:00.0,23100,New Zealand,SO62021,3,1,2.29
535,00:00.0,11370,New Zealand,SO62023,1,1,24.99
528,00:00.0,11370,New Zealand,SO62023,2,1,4.99
485,00:00.0,22177,New Zealand,SO62024,1,1,21.98
480,00:00.0,22177,New Zealand,SO62024,2,1,2.29
488,00:00.0,18727,New Zealand,SO62025,1,1,53.99
491,00:00.0,17061,New Zealand,SO62026,1,1,53.99
214,00:00.0,15146,New Zealand,SO62027,1,1,34.99
231,00:00.0,14665,New Zealand,SO62028,1,1,49.99
225,00:00.0,17327,New Zealand,SO62029,1,1,8.99
488,00:00.0,14516,New Zealand,SO62030,1,1,53.99
479,00:00.0,19626,New Zealand,SO62031,1,1,8.99
477,00:00.0,19626,New Zealand,SO62031,2,1,4.99
372,00:00.0,20258,New Zealand,SO62076,1,1,2443.35
484,00:00.0,20258,New Zealand,SO62076,2,1,7.95
357,00:00.0,13129,New Zealand,SO62077,1,1,2319.99
537,00:00.0,13129,New Zealand,SO62077,2,1,35
355,00:00.0,11992,New Zealand,SO62078,1,1,2319.99
478,00:00.0,11992,New Zealand,SO62078,2,1,9.99
359,00:00.0,13645,New Zealand,SO62079,1,1,2294.99
537,00:00.0,13645,New Zealand,SO62079,2,1,35
528,00:00.0,13645,New Zealand,SO62079,3,1,4.99
222,00:00.0,13645,New Zealand,SO62079,4,1,34.99
575,00:00.0,11903,New Zealand,SO62084,1,1,2384.07
489,00:00.0,11903,New Zealand,SO62084,2,1,53.99
562,00:00.0,11465,New Zealand,SO62085,1,1,2384.07
491,00:00.0,11465,New Zealand,SO62085,2,1,53.99
604,00:00.0,22582,New Zealand,SO62086,1,1,539.99
214,00:00.0,22582,New Zealand,SO62086,2,1,34.99
606,00:00.0,22583,New Zealand,SO62087,1,1,539.99
529,00:00.0,22583,New Zealand,SO62087,2,1,3.99
538,00:00.0,22583,New Zealand,SO62087,3,1,21.49
465,00:00.0,22583,New Zealand,SO62087,4,1,24.49
237,00:00.0,22583,New Zealand,SO62087,5,1,49.99
535,00:00.0,14056,New Zealand,SO62090,1,1,24.99
536,00:00.0,17060,New Zealand,SO62091,1,1,29.99
528,00:00.0,17060,New Zealand,SO62091,2,1,4.99
222,00:00.0,17060,New Zealand,SO62091,3,1,34.99
528,00:00.0,16177,New Zealand,SO62092,1,1,4.99
536,00:00.0,16177,New Zealand,SO62092,2,1,29.99
465,00:00.0,16177,New Zealand,SO62092,3,1,24.49
217,00:00.0,16177,New Zealand,SO62092,4,1,34.99
537,00:00.0,21998,New Zealand,SO62093,1,1,35
485,00:00.0,21998,New Zealand,SO62093,2,1,21.98
489,00:00.0,17236,New Zealand,SO62094,1,1,53.99
486,00:00.0,13003,New Zealand,SO62095,1,1,159
581,00:00.0,23534,New Zealand,SO62137,1,1,1700.99
217,00:00.0,23534,New Zealand,SO62137,2,1,34.99
378,00:00.0,13527,New Zealand,SO62138,1,1,2443.35
529,00:00.0,13527,New Zealand,SO62138,2,1,3.99
540,00:00.0,13527,New Zealand,SO62138,3,1,32.6
378,00:00.0,17354,New Zealand,SO62139,1,1,2443.35
484,00:00.0,17354,New Zealand,SO62139,2,1,7.95
374,00:00.0,17351,New Zealand,SO62140,1,1,2443.35
540,00:00.0,17351,New Zealand,SO62140,2,1,32.6
529,00:00.0,17351,New Zealand,SO62140,3,1,3.99
214,00:00.0,17351,New Zealand,SO62140,4,1,34.99
465,00:00.0,17351,New Zealand,SO62140,5,1,24.49
386,00:00.0,24485,New Zealand,SO62141,1,1,1120.49
489,00:00.0,24485,New Zealand,SO62141,2,1,53.99
359,00:00.0,13128,New Zealand,SO62142,1,1,2294.99
214,00:00.0,13128,New Zealand,SO62142,2,1,34.99
353,00:00.0,13632,New Zealand,SO62143,1,1,2319.99
357,00:00.0,13953,New Zealand,SO62144,1,1,2319.99
480,00:00.0,13953,New Zealand,SO62144,2,1,2.29
361,00:00.0,13637,New Zealand,SO62145,1,1,2294.99
590,00:00.0,17229,New Zealand,SO62154,1,1,769.49
476,00:00.0,17229,New Zealand,SO62154,2,1,69.99
488,00:00.0,17229,New Zealand,SO62154,3,1,53.99
585,00:00.0,14308,New Zealand,SO62155,1,1,742.35
479,00:00.0,14308,New Zealand,SO62155,2,1,8.99
477,00:00.0,14308,New Zealand,SO62155,3,1,4.99
564,00:00.0,11768,New Zealand,SO62156,1,1,2384.07
217,00:00.0,11768,New Zealand,SO62156,2,1,34.99
584,00:00.0,23099,New Zealand,SO62157,1,1,539.99
535,00:00.0,14307,New Zealand,SO62160,1,1,24.99
528,00:00.0,14307,New Zealand,SO62160,2,1,4.99
480,00:00.0,14307,New Zealand,SO62160,3,1,2.29
536,00:00.0,17061,New Zealand,SO62161,1,1,29.99
480,00:00.0,17061,New Zealand,SO62161,2,1,2.29
528,00:00.0,22204,New Zealand,SO62162,1,1,4.99
537,00:00.0,22204,New Zealand,SO62162,2,1,35
480,00:00.0,22204,New Zealand,SO62162,3,1,2.29
528,00:00.0,24897,New Zealand,SO62163,1,1,4.99
477,00:00.0,22859,New Zealand,SO62164,1,1,4.99
478,00:00.0,28951,New Zealand,SO62165,1,1,9.99
478,00:00.0,15240,New Zealand,SO62166,1,1,9.99
225,00:00.0,17283,New Zealand,SO62167,1,1,8.99
231,00:00.0,17283,New Zealand,SO62167,2,1,49.99
465,00:00.0,13954,New Zealand,SO62168,1,1,24.49
225,00:00.0,18247,New Zealand,SO62169,1,1,8.99
225,00:00.0,11150,New Zealand,SO62170,1,1,8.99
540,00:00.0,14123,New Zealand,SO62171,1,1,32.6
583,00:00.0,23432,New Zealand,SO62217,1,1,1700.99
214,00:00.0,23432,New Zealand,SO62217,2,1,34.99
378,00:00.0,20613,New Zealand,SO62218,1,1,2443.35
214,00:00.0,20613,New Zealand,SO62218,2,1,34.99
390,00:00.0,25234,New Zealand,SO62219,1,1,1120.49
491,00:00.0,25234,New Zealand,SO62219,2,1,53.99
359,00:00.0,13115,New Zealand,SO62220,1,1,2294.99
480,00:00.0,13115,New Zealand,SO62220,2,1,2.29
363,00:00.0,13131,New Zealand,SO62221,1,1,2294.99
